wod1,wod2
"Ten rounds for time of:
3 Weighted Pull-ups, 45 pounds
5 Strict Pull-ups
7 Kipping Pull-up",For weighted pull-ups place a 45 pound dumbbell between the legs above crossed ankles and jettison the dumbbell after third rep and continue with strict pull-ups and then the kipping pull-ups. Coming off the bar or going to ground constitutes termination of a set.
"For time:
Run 800 meters
Clean 155 lbs, 9 reps
Run 600 meters
Clean 115 lbs, 15 reps
Run 400 meters
Clean 85 lbs, 21 reps","(Woman use 95 lbs, 75 pounds, and 65 pounds)"
Push Jerk 3-3-3-2-2-2-1-1-1 reps,Post loads to comments.
Rest Day,
"Two rounds for score of:
Tabata Squats
Muscle-up for four minutes
Rest",No rest between finishing T. squats and muscle-ups. This is a 16-minute workout with rest at 8 minutes. Multiply lowest squat count for all eight intervals by the number of muscle-ups completed in four minutes for each round and post to comments. Substitute 5 pull-ups and 5 dips for each muscle-up if necessary.
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
"30-25-20-15-10 and 5 rep rounds of:
Burpee
L Pull-up",Post time to comments.
Rest Day,
Deadlift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"For time:
Run 1,600 meters
Bench press, body weight, 21 reps
Run 800 meters
Bench press, body weight, 15 reps
Run 400 meters
Bench press, bodyweight, 9 reps",Post time to comments.
"For time:
50 Wall-ball shots
50 Pull-ups
35 Wall-ball shots
35 Pull-ups
20 Wall-ball shots
20 Pull-ups",Use 20 pound medicine ball launched to a target ten feet above the ground.
Rest Day,
"Three rounds for time of:
Walking lunge, 100 ft
50 Squats
25 Back extensions",Post time to comments.
"3 rounds for time of:
1000 meter row
75 pound Sumo deadlift high-pull, 50 reps
25 Pull-ups",Post time to comments.
"""J.T.""","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
Rest Day,
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Clean 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"For time:
25 Walking lunge steps
20 Pull-ups
50 Box jumps, 20 inch box
20 Double-unders
25 Ring dips
20 Knees to elbows
30 Kettlebell swings, 2 pood
30 Sit-ups
20 Hang squat cleans, 35 pound dumbbells
25 Back extensions
30 Wall ball shots, 20 pound ball
3 Rope climb ascents",Post time to comments.
Rest Day,
Deadlift 1-1-1-1-1-1-1 reps,Post loads to comments.
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
"For time:
Row 1000 meters
45 pound Thruster, 50 reps
30 Pull-ups
Row 750 meters
45 pound Thruster, 25 reps
15 Pull-ups
Row 500 meters
45 pound Thruster, 15 reps
9 pull-ups",Post time to comments.
Rest Day,
"Five rounds for time of:
95 pound Shoulder press, 5 reps
95 pound Push press, 10 reps
95 pound Push jerk, 15 reps",Post time to comments.
"Overhead squat 1-1-1-1-1 reps
Front squat 1-1-1-1-1 reps
Back squat 1-1-1-1-1 reps",Try to increase the load on each of the fifteen sets.
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
Rest Day,
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"Three rounds for time of:
Run 100 meters
50 Push-ups
Run 100 meters
50 Sit-ups
Run 100 meters
50 Squats
Run 100 meters
50 Back extensions",Post time to comments.
Snatch Balance 3-3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"For time:
Run 1 mile
100 Sit-ups
100 Back extensions
Run 1 mile",Mix and match back extensions and sit-ups as needed.
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
"3 rounds for time of:
50 Squats
7 Muscle-ups
135 pound Hang power cleans, 10 reps",Post time to comments.
Rest Day,
"21-18-15-12-9-6 and then 3 rep rounds of:
Handstand push-ups
L-Pull-ups",Post time to comments.
"Overhead squat 1-1-1-1-1 reps
Front squat 1-1-1-1-1 reps
Back squat 1-1-1-1-1 reps",Try to increase the load on each of the fifteen sets.
"Complete as many rounds in 20 minutes as you can of:
15 Double-unders
15 Burpees
15 Box Jump
15 ft Rope climb, 1 ascent",Post rounds and fractions of rounds completed to comments.
Rest Day,
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
Barbell Thruster 1-1-1-1-1-1-1-1-1-1-1-1 reps.,Post loads to comments.
"""Murph""","For time:
1 mile Run
100 Pull-ups
200 Push-ups
300 Squats
1 mile Run"
Rest Day,
"Clean, Push Press, Push Jerk, Split Jerk 1-1-1-1-1-1-1-1-1-1 reps",Post loads to comments.
"Four rounds for time of:
Run 400 meters
50 Squats",Post time to comments.
Deadlift 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"For time:
30 Muscle-ups",Post time to comments.
"""Grace""","135 pound Clean and Jerk, 30 reps"
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
"For time:
Bike sprint, 1 mile
20 inch Box jump, 35 reps
GHD sit-up, 35 reps
15 ft Rope climb, 3 ascents
35 Slam-ball, 20 pound ball
35 pound Dumbbell walking lunge, 120 ft
35 pound Dumbbell hang squat clean, 35 reps
Ring dips, 35 reps",Post time to comments.
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Run 5K,Post time to comments.
Rest Day,
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
"21-18-15-12-9-6-3 rep rounds of:
185 pound Front squat
GHD Sit-up",Post time to comments.
"50-35-20 rep rounds of:
Handstand push-ups
Pull-ups",Post time to comments.
Rest Day,
"Complete as many rounds in twenty minutes as you can of:
95 pound Push jerk, 15 reps
24 inch box Box Jump, 15 reps
15 Back extensions",Post time to comments.
Back Squat 1-1-1-1-1-1-1 reps,Post loads to comments.
"Three rounds for time of:
21 L-Pull-ups
15 ft. L-rope climb, 3 ascents",Post time to comments.
Rest Day,
Snatch 1-1-1-1-1-1-1 reps,Post loads to comments.
"""Angie""","For time:
100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats"
"Clean 3-3-3 reps
Run 2000 meters
Clean 3-3-3 reps",Start run immediately after third set of cleans. Attempt same three clean sets after run. Post loads and run time to comments.
Rest Day,
"Five rounds for time:
135 pound Bench press, 21 reps
Run 400 meters",Post time to comments.
"50-40-30-20 and 10 rep rounds of:
Wall-ball, 20 pound ball
Slam-ball, 20 pound ball",Post time to comments.
Clean and Jerk 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"For fifteen minutes do pull-ups for twenty seconds, then sit-ups for twenty seconds, followed by squats for twenty seconds.",Post results to comments.
"For time:
50 pound Dumbbell squat cleans, 10 reps
21 Handstand push-ups
35 pound Dumbbell squat cleans, 15 reps
15 Handstand push-ups
25 pound Dumbbell squat cleans, 20 reps
9 Handstand push-ups",Post time to comments.
"21-15 and 9 rep rounds of:
Left-arm Kettlebell snatch, 1.5 pood
Right-arm Kettlebell snatch, 1.5 pood
Pull-ups",Greg Amundson 4:49 [video]
Rest Day,
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
Run 5K,Post time to comments.
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
Rest Day,
Run 5K,Post time to comments.
"Fifteen rounds of:
Power snatch followed immediately by five overhead squats.",Start light and add weight. Post loads to comments.
"Complete as many rounds in 20 minutes as you can of:
25 Pull-ups
50 Push-ups
75 Squats",OR
Rest Day,
"Five rounds for time:
45 lb Dumbbell thruster, 15 reps
15 ft Rope climb, 3 ascents with no legs",Post time and modifications to comments.
Deadlift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Kelly""","Five rounds for time of:
Run 400 meters
30 Box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Rest Day,
"""Fight Gone Bad!""","This is our famous ""Fight Gone Bad"" workout. It has been used extensively to prep fighters for the UFC. In this workout you move from each of five stations after a minute. This is a five-minute round from which a one-minute break is allowed before repeating. We've used this in 3 and 5 round versions. Today is 3 rounds. The stations are:"
"Complete as many rounds in twenty minutes as you can of:
10 L pull-ups
20 Squats",Post rounds and fractions of round completed to comments.
"""J.T.""","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
Rest Day,
100 Pull-ups,Post time to comments.
"Deadlift 3-3-3 reps
Front squat 3-3-3 reps
Hang squat clean 3-3-3 reps
Split Jerk 3-3-3 reps",Post loads to comments.
"For time 15, 12, and 9 rep rounds of:
45 pound Dumbbell Thruster
Muscle-up",Greg Amundson 8:54 [video]
Rest Day,
"For time 30, 25, 20, 15, 10, and 5 rep rounds of:
Virtual shoveling 
Push-ups","With an Olympic bar holding only one plate (men use 45 pound plate, women use 25 pound plate), touch the plate on one side of the barrier then the other for one ""rep."" Barrier is 24."""
"9 rounds for time of:
225 pound Deadlift, 5 reps
5 Handstand push-ups",Post time to comments.
"Three rounds for time of:
10 Muscle-ups
135 pound Clean and Jerk, 15 reps",Post time to comments.
Rest Day,
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Front squat 3-3-3-3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,
"For time:
Broad jump 50 yards counting the number of jumps
Lunge that many times alternating legs, maximizing stride
Deadlift bodyweight that many reps
Box jump 20"" that many reps
Squat that many reps",Post time and number of jumps to comments.
"75 pound Thruster
Pull-ups","With a continuously running clock do one thruster the first minute, two pull-ups the second minute, three thruster the third minute, and four pull-ups the fourth minute…continuing in this pattern as long as you are able. If your pace falls behind the count, continue to alternate exercises while recording reps for a total of twenty minutes."
"10, 20, and then 30 rep rounds of:
Box jump, 20 inch box
Handstand push-ups
Burpees
Pull-ups",Post time to comments.
Rest Day,
"""Helen""","Three rounds for time:
Run 400 meters
1 ½ pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
"Clean 5-5-5
Front squat 5-5-5
Split jerk 5-5-5",Post loads to comments.
Run 5 K,Post time to comments.
Rest Day,
"95 pound Squat clean, 75 reps",Post time to comments.
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"95 pound Thruster, 75 reps",Post time to comments.
Rest Day,
"Complete as many rounds in 20 minutes as you can of:
1/2 body weight Push press, 15 reps
Rope climb, 15 foot ascent",Post rounds and fractions of rounds completed to comments.
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
"Three rounds for time of:
55 pound Dumbbell (Kettlebell) Snatch, 20 reps, alternating arms
20 Pull-ups
Run 400 meters",Post time to comments.
Rest Day,
"Back squat, bodyweight, 21 reps
Run 200 meters
Front squat, 2/3 bodyweight, 21 reps
Run 400 meters
Overhead squat, ½ bodyweight, 21 reps
Run 800 meters",Post time to comments.
Snatch 15-12-9 reps,This is three sets with any rest needed between sets. Touch and go at ground only.
"**""Annie"" **","50-40-30-20 and10 rep rounds of:
Double-unders
Sit-ups"
Rest Day,
"For time:
30 Muscle-ups",Post time to comments.
"For time:
Run 400 meters
45 pound barbell Thruster, 50 reps
Run 400 meters
50 Burpees
Run 400 meters
45 pound barbell Hang squat clean, 50 reps
Run 400 meters",Post time to comments.
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
Rest Day,
"For time:
50 Ring dips
Run 800 meters
50 Ring dips
Run 800 meters
50 Ring dips",Post time to comments.
Deadlift 7-7-7-7-7-7-7 reps,"For each set, touch and go at ground only."
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Rest Day,
"Five rounds for time of:
100 ft Walking lunge
15 Handstand push-ups",Post time to comments.
"""Kelly""","Five rounds for time of:
Run 400 meters
30 box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Run 5K,Post time to comments.
Rest Day,
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
"Shoulder press 1-1-1-1-1 reps
Push press 1-1-1-1-1 reps
Push jerk 1-1-1-1-1 reps",Try to increase the load on each of the fifteen sets.
"Overhead squat 1-1-1-1-1 reps
Front squat 1-1-1-1-1 reps
Back squat 1-1-1-1-1 reps",Try to increase the load on each of the fifteen sets.
Rest Day,
"For time:
10 Handstand pushups/ 2 pull-ups
9 Handstand pushups/ 4 pull-ups
8 Handstand pushups/ 6 pull-ups
7 Handstand pushups/ 8 pull-ups
6 Handstand pushups/ 10 pull-ups
5 Handstand pushups/ 12 pull-ups
4 Handstand pushups/ 14 pull-ups
3 Handstand pushups/ 16 pull-ups
2 Handstand pushups/ 18 pull-ups
1 Handstand pushups/ 20 pull-up",Post time to comments.
"Five rounds for time of:
95 pound Sumo-deadlift high-pull, 21 reps
21 Ring dips",Post time to comments.
"""Murph""","For time:
1 mile Run
100 Pull-ups
200 Push-ups
300 Squats
1 mile Run"
Rest Day,
"""Helen""","Three rounds for time:
Run 400 meters
1 ½ pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
"Five rounds for time of:
25 Wallball shots, 20 pound ball - 10 foot target
30 Pull-ups",Post time to comments.
Rest Day,
"""Nancy""","5 rounds for time of:
400 meter run
95 pound Overhead squat, 15 reps"
Deadlift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
"21-18-15-12-9-6 and 3 rep rounds for time of:
Back Extension
Pull-up
Push-up",Post time to comments.
"Weighted Tabata Squats
150 Sit-ups","Perform the Tabata Squats holding a 10, 25, or 45 pound plate to your chest."
Push press 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"Five rounds for time of:
35 Double-unders
Run 200 meters",Post time to comments.
"""Jackie""","1000 meter row
45 pound Thruster, 50 reps
30 pull-ups"
"""Elizabeth""","21-15-9 reps of:
Clean 135 pounds
Ring dips"
Rest Day,
Overhead squat 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"For time:
30 Muscle-ups",Post time to comments.
"For time:
Run 1600 meters
115 pound Thruster, 9 reps
Run 800 meters
115 pound Thruster, 15 reps
Run 400 meters
115 pound Thruster, 21 reps",Post time to comments.
Rest Day,
"Seven rounds of:
Clean & Jerk, 1 rep
Max reps Pull-ups",Post C&J loads and pull-up reps to comments.
Run 5K,Post time to comments.
"For time:
20 inch Box jump, 50 reps
15 foot Rope climb, 5 ascents
1.5 pood Kettlebell swing, 50 reps
50 sit-ups
40 pound dumbbell Hang power clean, 50 reps
800 meter Run
50 Back extensions",Post time to comments.
Rest Day,
"""Linda""",10-9-8-7-6-5-4-3-2-1 reps of the triplet:
"For time:
100 L-Pull-ups",Post time to comments.
"Five rounds for time of:
45 pound barbell Overhead walking lunges, 50 feet
21 Burpees","Let trailing knee gently ""kiss"" the ground on each lunge."
Rest Day,
Deadlift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Rest Day,
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
"""Kelly""","Five rounds for time of:
Run 400 meters
30 box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
"Three rounds for time of:
95 pound barbell Snatch, 21 reps
15 foot Rope-climb, two ascents, without legs, from seated start","If you don�t have a rope, make plans to pick one up, and until then, substitute 20 pull-ups for each ascent. Snatch is squat snatch, not power snatch."
Rest Day,
Run 5K,Post time to comments.
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
"""Helen""","Three rounds for time:
Run 400 meters
1 ½ pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
Rest Day,
"For time:
100 Squats
40 Pull-ups
80 Squats
32 Pull-ups
60 Squats
24 Pull-ups
40 Squats
16 Pull-ups
20 Squats
8 Pull-ups",Post time to comments.
"**""J.T."" **","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
"5 rounds for time of:
400 meter run
95 pound Snatch, 15 reps",No Power snatches.
Rest Day,
Clean 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
Run 10K,Post time to comments.
"For time:
80 squats
95 pound Push press, 10 reps
60 squats
95 pound Push press, 20 reps
40 squats
95 pound Push press, 30 reps
20 squats",Post time to comments.
Rest Day,
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"""Nancy""","5 rounds for time of:
400 meter run
95 pound Overhead squat, 15 reps"
"Ten rounds for time of:
10 Pull-ups
20 Sit-ups
30 Squats",Post time to comments.
Rest Day,
"21-15-9 reps of
Hang squat clean, 50 pound dumbells
Handstand push-ups",Post time to comments.
Deadift 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"Four rounds for time of:
50 Squats
5 Muscle-ups",Post time to comments.
Rest Day,
"Complete as many rounds in 20 minutes as you can of:
7 Handstand push-ups
12 L-Pull-ups",Post rounds and fractions of rounds completed to comments.
